post_id,post_date,engagement_score,user_comment
post_1019,2026-06-03,193.0,สมัครสมาชิกวันนี้รับฟรีโบนัส 100%!! 🤑💰 ลิงก์ใต้คอมเมนต์เลยจ้า
post_1020,"Jun 06, 2026",139.0,!!! <span>งานคอนเสิร์ตสนุกมากกกกก โคตรคุ้มค่าบัตร!! 🎉🎤🎵</span> !!! ---
post_1021,05/06/2026,,จัดส่งเร็วมากกกก ของแพ็คมาดีเว่อร์ สิบดาวไปเลยครับ ⭐⭐⭐⭐⭐
post_1022,02/06/2026,213.0,หนังเรื่องนี้ดีมากกกกก! 🎬🌟 แนะนำให้ไปดูเลยครับ รีวิวเต็มๆ ที่ https://moviereview.com/hit-movie
post_1023,"Jun 08, 2026",255.0,<div>บอกเลยว่าผิดหวังอย่างแรง 👎 บริการแย่มาก <br> ไม่ไปซ้ำแน่นอน!! #เซ็ง
post_1024,null,-150.0,!!! <span>งานคอนเสิร์ตสนุกมากกกกก โคตรคุ้มค่าบัตร!! 🎉🎤🎵</span> !!! ---
post_1025,"Jun 14, 2026",346.0,โปรโมชั่นลดราคาพิเศษเฉพาะวันนี้เท่านั้น!   &nbsp;  🛒🛍️   &nbsp;  คลิกเลย   &nbsp;  👉   &nbsp;  https://shop.sale/discount
post_1026,"Jun 06, 2026",305.0,อร่อยมากกกกกก!! ร้านนี้ต้องซ้ำ 🍜🔥 พิเศษใส่ไข่ด้วยนะ @friend_group
post_1027,02/06/2026,236.0,หนังเรื่องนี้ดีมากกกกก! 🎬🌟 แนะนำให้ไปดูเลยครับ รีวิวเต็มๆ ที่ https://moviereview.com/hit-movie
post_1028,unknown_time,177.0,!!! อร่อยมากกกกกก!! ร้านนี้ต้องซ้ำ 🍜🔥 พิเศษใส่ไข่ด้วยนะ @friend_group !!! ---
post_1029,null,345.0,สมัครสมาชิกวันนี้รับฟรีโบนัส 100%!! 🤑💰 ลิงก์ใต้คอมเมนต์เลยจ้า
post_1030,"Jun 01, 2026",312.0,<div>บอกเลยว่าผิดหวังอย่างแรง   &nbsp;  👎   &nbsp;  บริการแย่มาก   &nbsp;  <br>   &nbsp;  ไม่ไปซ้ำแน่นอน!!   &nbsp;  #เซ็ง
post_1031,2026-06-12,462.0,<div>บอกเลยว่าผิดหวังอย่างแรง 👎 บริการแย่มาก <br> ไม่ไปซ้ำแน่นอน!! #เซ็ง
post_1032,2026-06-10,271.0,!!! จัดส่งเร็วมากกกก ของแพ็คมาดีเว่อร์ สิบดาวไปเลยครับ ⭐⭐⭐⭐⭐ !!! ---
post_1033,"Jun 06, 2026",381.0,<div>บอกเลยว่าผิดหวังอย่างแรง 👎 บริการแย่มาก <br> ไม่ไปซ้ำแน่นอน!! #เซ็ง
post_1034,error_date_99,,<div><p>รสชาติเฉยๆ อะ ไม่ได้แย่แต่ก็ไม่ได้ว้าว ขนาดนั้น 🤔</p></div>
post_1035,"Jun 12, 2026",256.0,ลุ้นแทบตายสุดท้ายจบแบบนี้หรอออออ???   &nbsp;  🤯💥   &nbsp;  http://twitter.com/hashtag/drama
post_1036,"Jun 09, 2026",129.0,!!! ลุ้นแทบตายสุดท้ายจบแบบนี้หรอออออ??? 🤯💥 http://twitter.com/hashtag/drama !!! ---
post_1037,01/06/2026,,จัดส่งเร็วมากกกก ของแพ็คมาดีเว่อร์ สิบดาวไปเลยครับ ⭐⭐⭐⭐⭐
post_1038,"Jun 11, 2026",15500.0,<div><p>รสชาติเฉยๆ อะ ไม่ได้แย่แต่ก็ไม่ได้ว้าว ขนาดนั้น 🤔</p></div>
post_1039,2026-06-11,208.0,ลุ้นแทบตายสุดท้ายจบแบบนี้หรอออออ??? 🤯💥 http://twitter.com/hashtag/drama
