engine,query_number,repeat,latency_ms
FAISS,10,9,1.5528130006714491
ChromaDB,10,9,1.1982749983872054
FAISS,11,0,1.5290789997379761
ChromaDB,11,0,1.2217879993841052
FAISS,11,1,1.5341079997597262
ChromaDB,11,1,1.1933950008824468
FAISS,11,2,1.5363120000984054
ChromaDB,11,2,1.2111080013710307
FAISS,11,3,1.5389179989142576
ChromaDB,11,3,1.2096159989596345
FAISS,11,4,1.6672660003678175
ChromaDB,11,4,1.2431979994289577
FAISS,11,5,1.5756159991724417
ChromaDB,11,5,1.1364600013621384
FAISS,11,6,1.5787610009283526
ChromaDB,11,6,1.1129260001325747
FAISS,11,7,1.529429999209242
ChromaDB,11,7,1.0983590000250842
FAISS,11,8,1.5380849999928614
ChromaDB,11,8,1.0960849995171884
FAISS,11,9,1.5288479989976622
ChromaDB,11,9,1.1208710002392763
FAISS,12,0,1.5314440006477525
ChromaDB,12,0,1.1928849999094382
FAISS,12,1,1.5276560006896034
ChromaDB,12,1,1.3781779998680577
FAISS,12,2,1.5788909986440558
ChromaDB,12,2,1.1607950000325218
FAISS,12,3,1.5321440005209297
ChromaDB,12,3,1.1651430013444042
FAISS,12,4,1.5652259990019957
ChromaDB,12,4,1.5715680001449073
FAISS,12,5,1.5502779988310067
ChromaDB,12,5,1.2537780003185617
FAISS,12,6,1.5329260004364187
ChromaDB,12,6,1.2098860006517498
FAISS,12,7,1.542424000945175
ChromaDB,12,7,1.2101469983463176
FAISS,12,8,1.5291479994630208
ChromaDB,12,8,1.210377000461449
FAISS,12,9,1.5270860003511189
ChromaDB,12,9,1.2267080001038266
FAISS,13,0,1.5382050005428027
ChromaDB,13,0,1.2473360002331901
FAISS,13,1,1.53314599992882
ChromaDB,13,1,1.424965999831329
FAISS,13,2,1.5188999987003626
ChromaDB,13,2,1.1927739997190656
FAISS,13,3,1.5308619986171834
ChromaDB,13,3,1.2156870016042376
FAISS,13,4,1.530210998680559
ChromaDB,13,4,1.2221390006743604
FAISS,13,5,1.5759149991936283
ChromaDB,13,5,1.2680639993050136
FAISS,13,6,1.5557679998892127
ChromaDB,13,6,1.2625039998965804
FAISS,13,7,1.6888049995031906
ChromaDB,13,7,1.3187579988880316
FAISS,13,8,1.5525819999311352
ChromaDB,13,8,1.1721060000127181
FAISS,13,9,1.5393079993373249
ChromaDB,13,9,1.1149900001328206
FAISS,14,0,1.5325360000133514
ChromaDB,14,0,1.1838679984066403
FAISS,14,1,1.5139509996515699
ChromaDB,14,1,1.1241669999435544
FAISS,14,2,1.522426000519772
ChromaDB,14,2,1.2917879994347459
FAISS,14,3,1.586175001648371
ChromaDB,14,3,1.162499000201933
FAISS,14,4,1.5227670010062866
ChromaDB,14,4,1.2225399987073615
FAISS,14,5,1.5203429993562168
ChromaDB,14,5,1.200558999698842
FAISS,14,6,1.5308420006476808
ChromaDB,14,6,1.1960100000578677
FAISS,14,7,1.5643650003767107
ChromaDB,14,7,1.2735540003632195
FAISS,14,8,1.5328159988712287
ChromaDB,14,8,1.2120899991714396
FAISS,14,9,1.5315429991460405
ChromaDB,14,9,1.1965110006713076
